unode dx dy f11 f12 f21 f22
2782 -1.02183 -0.352681 2.38879 0.485423 0.628505 0.571122
2783 -0.0746205 0.289065 1.09149 0.548225 -0.293479 0.82092
2784 -0.106032 0.351995 1.14989 0.463408 -0.3602 0.724316
2785 -0.000678451 0.550561 1.00867 0.471476 -0.617349 0.697101
2786 -0.0809854 0.378069 1.10748 0.502335 -0.400608 0.742365
2787 -0.00945685 0.523083 1.00823 0.531059 -0.580482 0.698941
2788 0.0720349 0.638297 0.897922 0.559095 -0.729188 0.705917
2789 -0.387095 0.0315328 1.486 0.540506 0.046594 0.690722
2790 -0.485207 -0.0152696 1.60656 0.558081 0.116694 0.639219
2791 -0.315492 0.292906 1.3794 0.633999 -0.259896 0.602146
2792 -0.451549 -0.125962 1.53547 0.692728 0.231055 0.730607
2793 -0.673773 -0.0282636 1.80988 0.680956 0.134117 0.620184
2794 -0.32772 0.0413173 1.36855 0.786199 0.0067134 0.833867
2795 0.288928 0.383765 0.558505 1.1278 -0.435213 0.983549
2796 -0.322088 -0.156461 1.26224 1.23513 0.185793 1.08621
2797 -0.508238 -0.163065 1.57455 0.749979 0.256803 0.754037
2798 -0.454899 0.0111531 1.51752 0.722381 0.0690421 0.672984
2799 -0.569753 -0.224843 1.60511 0.961647 0.315445 0.813224
2800 -0.0615608 0.0790954 0.966275 1.2521 -0.0667892 0.988157
2801 -0.201623 -0.00867668 1.18403 0.935041 0.056635 0.858795
2802 -0.363295 -0.0615891 1.4334 0.574819 0.141052 0.725928
2803 -0.439647 -0.218703 1.53848 0.469019 0.309221 0.766773
2804 -0.396498 -0.0703288 1.48729 0.485125 0.154717 0.711361
2805 -0.241813 0.0377517 1.31065 0.524393 0.0242873 0.77814
2806 -0.203994 -0.00470498 1.26866 0.528582 0.0616047 0.824806
2807 -0.0931062 0.0015891 1.1669 0.426283 0.0543776 0.830648
2808 -0.0779508 0.0385853 1.15023 0.43172 0.0124156 0.845478
2809 0.00208257 0.116708 1.05929 0.465477 -0.0819003 0.910842
2810 -0.105384 0.0949605 1.18645 0.38459 -0.0462998 0.836864
2811 0.0544972 0.281363 0.998964 0.504603 -0.251576 0.897776
2812 0.192953 0.306302 0.831354 0.645984 -0.290764 0.976089
2813 0.245484 0.307362 0.742561 0.851761 -0.312045 1.09532
2814 0.310236 0.291896 0.671033 0.88424 -0.302871 1.13475
2815 0.27689 0.314766 0.716902 0.812223 -0.312452 1.05371
2816 -0.00156119 -0.00716202 0.774813 0.783902 -0.232155 1.10961
2817 -0.012647 -0.0196317 0.634056 0.851234 -0.308074 1.18388
2818 -0.0240487 -0.00825684 0.622454 0.91858 -0.311976 1.11786
2819 -0.0226992 -0.00147119 0.628797 0.910936 -0.362942 1.08471
2820 -0.0155311 -0.000451908 0.656523 0.864238 -0.311888 1.0698
2821 -0.00220355 -0.0274359 0.692877 0.780529 -0.207345 1.20673
2822 0.000225487 -0.034748 0.840889 0.729733 -0.0129082 1.20191
2823 -0.0376097 -0.049696 1.07142 0.87918 0.203854 1.22349
2824 -0.0368361 -0.0634578 0.981383 0.907274 0.14121 1.32778
2825 0.026434 0.00405075 0.703373 0.646058 -0.209626 1.07018
2826 0.033322 0.0176224 0.827593 0.552361 -0.210308 0.990915
2827 0.00957893 -0.0140883 0.765695 0.720503 -0.182743 1.16384
2828 0.00842979 -0.0201411 0.669162 0.779455 -0.199879 1.20801
2829 -0.000267854 0.0230224 0.690756 0.81791 -0.279611 1.00185
2830 0.0157509 -0.0282402 0.719635 0.706858 -0.143161 1.2143
2831 0.047933 -0.0508378 0.667635 0.555053 -0.129632 1.33809
2832 0.0341932 -0.0554525 0.701622 0.608823 -0.169778 1.39019
2833 0.0893379 -0.0154974 0.67604 0.307041 -0.207485 1.18606
2834 0.0607156 -0.0393958 0.868032 0.321343 0.0452808 1.12443
2835 0.0420277 -0.0293971 0.949766 0.361757 -0.0324383 1.13439
2836 0.0266076 -0.0147091 1.16194 0.26025 0.115688 0.915254
2837 0.0194026 0.0273834 1.04527 0.411628 -0.159715 0.928563
2838 -0.0211146 -0.0254344 1.22648 0.467708 0.203077 0.877428
2839 0.00364986 0.0175316 1.05486 0.503183 -0.0338969 0.873076
2840 0.0170397 -0.0126633 1.02834 0.452721 0.0150711 0.99578
2841 0.0142519 0.0265005 1.08492 0.406068 -0.0795439 0.875621
2842 -0.00201109 0.0539445 0.944837 0.663318 -0.255367 0.918572
2843 -0.00138107 0.140362 0.843382 0.780644 -0.505252 0.716627
2844 -0.0730689 0.0866545 1.01724 0.980585 -0.285917 0.753435
2845 -0.0187741 0.0687052 0.837151 0.899046 -0.298576 0.876286
2846 0.0122357 0.149966 0.797645 0.770373 -0.515589 0.692292
2847 -0.00764606 0.116314 0.741765 0.965485 -0.458485 0.810305
2848 -0.167121 -0.0462013 1.25367 1.1555 0.133865 0.905137
2849 -0.0842842 0.112407 1.09003 0.917371 -0.28478 0.603406
2850 -0.0482225 0.0933345 0.998532 0.851616 -0.312928 0.759831
2851 -0.0430531 -0.0422345 0.984422 0.844284 -0.00786321 1.0679
2852 -0.0256426 -0.20911 0.976689 0.75578 0.465987 1.27233
2853 -0.125462 0.0538691 1.17692 1.00611 -0.156281 0.78113
2854 -0.128045 -0.0750239 1.15279 1.05656 0.147151 1.00534
2855 -0.0995631 -0.0132525 1.04222 1.08517 -0.0384958 0.97426
2856 0.0314165 0.0969301 0.583886 1.14674 -0.369574 0.927725
2857 0.0550337 0.135831 0.427685 1.29766 -0.567314 1.06606
2858 0.0848521 0.155114 0.394452 1.18384 -0.571876 0.959664
2859 -0.0550696 -0.123263 0.888082 1.04629 0.104251 1.27349
2860 -0.117073 -0.0712762 1.08131 1.02732 0.0827299 1.01755
2861 -0.101283 0.0823535 1.08687 0.922767 -0.219691 0.731778
2862 -0.18348 -0.115845 1.27771 1.0096 0.227883 0.964479
2863 -0.180375 -0.267079 1.29392 0.954243 0.538655 1.18438
2864 -0.15981 -0.0954699 1.25041 0.929351 0.186531 0.948034
2865 -0.15476 -0.147232 1.23995 0.923246 0.283791 1.02605
2866 -0.180225 -0.109833 1.30139 0.932867 0.23735 0.915467
2867 -0.137101 -0.205454 1.22993 0.844447 0.406567 1.08224
2868 -0.139033 -0.112666 1.24587 0.817529 0.23996 0.932979
2869 -0.240928 -0.56569 1.47599 0.860731 1.1681 1.35364
2870 -0.100572 0.0620116 1.1605 0.809645 -0.0919746 0.761401
2871 -0.0621948 -0.123503 1.07364 0.802094 0.202305 1.10923
2872 -0.0158362 0.0183654 0.936231 0.879854 -0.0839202 1.00641
2873 -0.0992617 0.0840681 1.13458 0.856042 -0.132384 0.748311
2874 -0.101473 -0.390989 1.15972 0.804781 0.707837 1.31799
2875 -0.135385 -0.198097 1.18855 0.923453 0.333316 1.19074
2876 -0.15818 -0.524722 1.28284 0.799433 0.976506 1.36014
2877 -0.28623 -0.294084 1.44362 1.09709 0.538674 1.21291
2878 -0.0532644 -0.471497 0.993029 1.00137 0.754801 1.64365
2879 0.221624 0.0275502 0.272181 1.45252 -0.456691 2.18267
2880 0.158223 -0.096886 0.436857 1.34575 -0.0857104 1.83784
2881 0.162202 -0.11775 0.432618 1.33196 -0.122621 2.06029
2882 0.0760676 -0.33693 0.640677 1.21568 0.294665 2.09684
2883 0.164978 -0.0138074 0.542084 0.996802 -0.185345 1.66946
2884 0.132872 -0.192298 0.637755 0.890973 0.150991 1.67822
2885 0.107759 -0.212054 0.698322 0.849419 0.185986 1.68576
2886 0.136865 -0.157913 0.659824 0.800636 0.117877 1.5834
2887 0.122442 -0.22032 0.685581 0.801726 0.182539 1.73869
2888 0.143062 -0.097506 0.669968 0.732536 0.0418434 1.48222
2889 0.159637 -0.0884904 0.650848 0.698686 0.00156106 1.56244
2890 0.146354 -0.139038 0.675821 0.692918 0.0807667 1.59381
2891 0.16756 0.00643291 0.649999 0.657306 -0.113693 1.40551
2892 0.148818 -0.0740806 0.68375 0.650509 0.0113976 1.44335
2893 0.152748 -0.00265002 0.686183 0.619078 -0.098724 1.41221
2894 0.15322 0.055848 0.690508 0.600851 -0.162231 1.29485
2895 0.151239 -0.016499 0.698951 0.582664 -0.0603392 1.35304
2896 0.144003 0.03871 0.716246 0.562166 -0.138291 1.31301
2897 0.134429 0.0391863 0.73781 0.539166 -0.120195 1.24285
2898 0.135446 0.0378361 0.748349 0.493956 -0.132167 1.29522
2899 0.127229 0.0718215 0.764634 0.48073 -0.155374 1.18497
2900 0.133377 0.0407196 0.766965 0.436329 -0.11758 1.22244
2901 0.106507 0.0361997 0.807895 0.435544 -0.0928853 1.1549
2902 0.0836263 0.00314037 0.862931 0.355593 -0.0459142 1.16406
2903 0.0351084 -0.062936 0.937289 0.344832 0.0710528 1.08873
2904 -0.0290442 -0.0990302 1.03904 0.313301 0.13862 1.02912
2905 -0.116743 -0.227984 1.15211 0.367909 0.338726 0.974248
2906 -0.235565 -0.314335 1.3232 0.363392 0.487106 0.872356
2907 -0.399699 -0.427789 1.55472 0.365624 0.670553 0.780194
2908 -0.512823 -0.6677 1.74001 0.255327 1.02569 0.69874
2909 -0.779703 -0.994161 2.10823 0.258075 1.49198 0.626299
2910 -1.00217 -0.499405 2.37211 0.440937 0.821153 0.601455
2911 -0.0473939 0.464645 1.05315 0.554768 -0.513337 0.746582
2912 -0.0564171 0.386127 1.06572 0.543599 -0.405896 0.725256
2913 -0.0285969 0.55415 1.04308 0.482528 -0.621615 0.695002
2914 -0.079489 0.451208 1.09935 0.53028 -0.484838 0.690799
2915 -0.0428977 0.478302 1.05259 0.525325 -0.517261 0.674244
2916 0.0584402 0.657908 0.915312 0.559263 -0.747048 0.67287
2917 -0.431336 0.0487933 1.52517 0.620383 0.0277807 0.676243
2918 -0.611715 -0.0553804 1.74166 0.670065 0.164884 0.649403
2919 -0.311038 0.234609 1.36911 0.65756 -0.18913 0.609053
2920 -0.454075 -0.118198 1.5301 0.732702 0.215813 0.75774
2921 -0.471641 0.0212488 1.59318 0.536877 0.0817061 0.580892
2922 -0.21307 -0.0915517 1.26253 0.624076 0.166887 0.835477
2923 0.229011 0.288 0.696808 0.790968 -0.316795 0.968003
2924 0.0395952 0.28775 0.920445 0.79487 -0.309021 0.926844
2925 -0.491743 -0.0986183 1.56624 0.693261 0.187729 0.721149
2926 -0.428261 -0.0439076 1.50577 0.62715 0.136653 0.656193
2927 -0.740682 -0.349037 1.82604 0.835868 0.462821 0.789093
2928 -0.238324 -0.0760358 1.22825 0.943193 0.124634 0.915139
2929 0.0129839 0.0662572 0.896303 1.1722 -0.0712347 1.0855
2930 -0.119005 -0.0300433 1.11499 0.808393 0.0620641 0.955482
2931 -0.301535 -0.129927 1.38246 0.481332 0.215326 0.74042
2932 -0.445795 -0.171781 1.54505 0.466098 0.258204 0.757076
2933 -0.240651 0.0461429 1.32699 0.425594 0.022414 0.737303
2934 -0.180201 -0.0991344 1.26036 0.430656 0.158883 0.85304
2935 -0.105769 -0.0535556 1.17669 0.448289 0.106833 0.870308
2936 -0.091422 -0.0113365 1.16516 0.427286 0.0564557 0.896261
2937 -0.0807471 0.143125 1.14913 0.453504 -0.100634 0.859347
2938 -0.0523997 0.136827 1.10831 0.512225 -0.0991687 0.886555
2939 -0.00507417 0.214671 1.0898 0.340702 -0.168864 0.822072
2940 0.0773256 0.198602 0.980115 0.476401 -0.176998 0.960907
2941 0.214731 0.272332 0.829359 0.529778 -0.260491 1.00396
2942 0.234702 0.288062 0.77137 0.743844 -0.290137 1.08191
2943 0.314325 0.349459 0.68233 0.792192 -0.354649 1.0956
2944 0.0174992 -0.0115192 0.746269 0.675042 -0.23867 1.13425
2945 0.0108956 -0.00747693 0.749012 0.711529 -0.286156 1.11253
2946 -0.00749195 -0.0153345 0.68008 0.818322 -0.286939 1.15513
2947 -0.00682211 -0.0350898 0.6145 0.822268 -0.302651 1.26701
2948 -0.00641432 -0.0448656 0.639144 0.814851 -0.248626 1.3118
2949 0.00818401 -0.0273175 0.779569 0.705452 -0.097326 1.18286
2950 0.0171383 -0.0352862 0.800819 0.649404 -0.0105603 1.20429
2951 0.000651918 -0.0613292 0.808061 0.740217 0.100552 1.31893
2952 -0.0166447 -0.060653 0.890483 0.810894 0.135769 1.30342
2953 -0.015781 -0.0231492 0.800544 0.841371 -0.189587 1.21727
2954 0.0323491 0.0149852 0.708214 0.612472 -0.331365 1.06326
2955 0.0128442 0.00631533 0.974016 0.599059 -0.0724583 0.993478
2956 -0.00449361 0.0113361 0.805315 0.779873 -0.265498 1.06194
2957 0.0169852 -0.024784 0.785255 0.669649 -0.111599 1.17859
2958 0.0293552 -0.0421703 0.743419 0.625152 -0.0892686 1.26172
2959 -0.0429451 -0.0878722 0.626087 1.1027 -0.073201 1.50773
2960 -0.0275825 -0.0532194 0.583923 1.04622 -0.239775 1.42762
2961 0.00435044 -0.0381946 0.564635 0.87906 -0.217684 1.32548
2962 -0.0150495 -0.0631322 0.675833 0.902343 -0.128211 1.39596
2963 -0.00663982 -0.0199147 0.979717 0.610091 -0.00907067 1.06004
2964 -0.0237568 0.0266078 1.09523 0.603412 -0.0914562 0.864674
2965 -0.0320559 0.0520432 1.19203 0.566765 -0.156263 0.785246
2966 -0.0328989 -0.0149891 1.20695 0.553466 0.124174 0.89532
2967 0.0225135 -0.0182811 1.03676 0.414648 0.0911805 0.949969
2968 0.00486193 -0.0156216 1.02536 0.524805 -0.0115189 1.04016
2969 -0.0330295 0.0568067 1.1635 0.587212 -0.146857 0.777817
2970 -0.0235784 0.125888 1.07311 0.638023 -0.396356 0.672785
2971 -0.018385 0.175455 0.946721 0.753358 -0.583973 0.612213
2972 -0.039023 0.00659767 1.01691 0.785779 -0.0406076 0.902742
2973 0.00984903 0.0990404 0.749789 0.847355 -0.474292 0.929458
2974 0.0162872 0.13644 0.775265 0.777467 -0.536647 0.798216
2975 -0.0270821 0.076874 0.919337 0.829943 -0.3092 0.828159
2976 -0.0898745 0.0171153 1.12993 0.891577 -0.054446 0.813939
2977 -0.0540621 0.0506573 1.04947 0.805975 -0.178426 0.800101
2978 -0.0158571 0.0141522 0.962641 0.721012 -0.110955 0.90422
2979 -0.0530985 -0.147269 1.02653 0.832674 0.301346 1.18391
2980 -0.104823 -0.0439445 1.13868 0.946329 0.0911812 0.933674
2981 -0.0593959 0.0516281 1.05932 0.823226 -0.154122 0.78987
2982 -0.095834 -0.123689 1.16452 0.852112 0.244617 1.1154
2983 -0.0469599 0.0284334 1.02559 0.814088 -0.128786 0.891919
2984 0.00942926 -0.0787945 0.751443 0.970831 -0.0372077 1.33438
2985 0.12792 0.13413 0.344057 1.02832 -0.61659 1.16838
2986 0.118182 0.130039 0.41883 0.94365 -0.570638 1.10321
2987 -0.0623862 -0.0831916 0.939257 0.990694 0.0380361 1.17042
2988 -0.0450888 0.0787954 0.959866 0.855972 -0.242465 0.797777
2989 -0.118107 -0.020442 1.13596 0.921422 0.00202655 0.875131
2990 -0.156772 -0.225744 1.23791 0.937014 0.441913 1.15142
2991 -0.158321 -0.170248 1.25611 0.907809 0.34014 1.04747
2992 -0.148469 -0.0735369 1.24347 0.880715 0.131022 0.936789
2993 -0.142677 -0.130964 1.23809 0.859122 0.26155 0.982565
2994 -0.136134 -0.193467 1.23034 0.839124 0.389177 1.05498
2995 -0.110323 -0.0763297 1.16857 0.830533 0.151858 0.927844
2996 -0.149507 -0.35709 1.26197 0.840633 0.69563 1.26948
2997 -0.248833 -0.260091 1.49998 0.846776 0.583698 0.990439
2998 -0.0473954 -0.0353806 1.0915 0.674415 0.0784101 0.908234
2999 -0.08145 -0.0793806 1.1094 0.823198 0.140629 1.00672
3000 -0.0631155 0.0598409 1.06457 0.830176 -0.116471 0.849705
3001 -0.0125903 -0.176976 1.00749 0.687025 0.298487 1.14521
3002 -0.142108 -0.298428 1.25009 0.801451 0.555451 1.18347
3003 -0.0475787 -0.446877 1.07001 0.730195 0.776325 1.44324
3004 -0.152996 -0.170111 1.27514 0.791801 0.364231 0.975041
3005 -0.0987405 -0.435402 1.17801 0.745332 0.801353 1.30365
3006 -0.127897 -0.463689 1.27173 0.655811 0.874923 1.26478
3007 0.13181 -0.286503 0.685679 0.805302 0.34391 1.72445
3008 0.304238 -0.0648618 0.198546 1.18928 -0.367229 2.45199
3009 0.196395 -0.199991 0.413755 1.18573 -0.0468067 2.30661
3010 0.208692 -0.0769132 0.530554 0.78425 -0.027682 1.56606
3011 0.20449 -0.0897508 0.559441 0.724856 -0.0650504 1.74476
3012 0.167569 -0.2343 0.593404 0.830752 0.17242 1.85327
3013 0.178856 -0.100392 0.580714 0.806609 -0.00491625 1.63726
3014 0.137509 -0.213204 0.630945 0.88562 0.146042 1.80894
3015 0.164618 -0.107926 0.618999 0.772141 0.0344064 1.56735
3016 0.161451 -0.128893 0.631989 0.748777 0.0502906 1.63371
3017 0.144966 -0.110694 0.658257 0.757898 0.0385626 1.57035
3018 0.181549 -0.0193745 0.61781 0.683507 -0.0959787 1.49223
3019 0.168163 -0.0283134 0.645753 0.667613 -0.0650182 1.44164
3020 0.144224 -0.0277496 0.681993 0.682206 -0.0692172 1.45186
3021 0.167379 0.027601 0.662193 0.618854 -0.134295 1.36069
3022 0.158446 0.0676874 0.673132 0.63167 -0.196698 1.34817
3023 0.153371 -0.00054011 0.68494 0.620067 -0.0841171 1.34492
3024 0.15919 0.0810082 0.684833 0.588108 -0.203858 1.30482
3025 0.159931 0.0329991 0.692524 0.557266 -0.120545 1.27981
3026 0.146923 0.077337 0.711083 0.564333 -0.193557 1.2935
3027 0.146365 0.100928 0.725938 0.51463 -0.210526 1.22324
3028 0.126467 0.0327225 0.764571 0.485418 -0.102727 1.213
3029 0.101533 0.0819649 0.799807 0.495184 -0.173316 1.19819
3030 0.0803988 0.00836671 0.841586 0.457385 -0.0491689 1.14628
3031 0.0419666 0.0264171 0.894061 0.47415 -0.0562811 1.07344
3032 -0.0249195 -0.0990299 1.00094 0.439664 0.131062 1.05748
3033 -0.0950513 -0.129626 1.1226 0.36156 0.202176 0.954996
3034 -0.210866 -0.300353 1.3101 0.276084 0.473178 0.849003
3035 -0.332721 -0.323857 1.48914 0.24986 0.531358 0.752562
3036 -0.526722 -0.665275 1.76037 0.250387 1.02362 0.692928
3037 -0.838194 -0.847877 2.17598 0.311988 1.29214 0.621072
3038 -0.936177 -0.877419 2.33739 0.211549 1.34556 0.561513
3039 -0.083738 0.53141 1.12071 0.474378 -0.579633 0.645218
3040 0.0151186 0.427428 0.9617 0.581218 -0.465207 0.743717
3041 -0.00629093 0.566475 1.00052 0.53919 -0.631668 0.668134
3042 -0.12161 0.482714 1.15521 0.527382 -0.519676 0.663259
3043 -0.159445 0.397172 1.18704 0.59761 -0.406354 0.647898
3044 0.074827 0.687233 0.877652 0.6331 -0.777405 0.639928
3045 -0.43548 0.0905863 1.52515 0.644189 -0.0275445 0.686832
3046 -0.645721 -0.0467784 1.79817 0.607677 0.162167 0.612199
3047 -0.284224 0.1415 1.36091 0.541551 -0.0893147 0.6822
3048 -0.356059 0.0628142 1.45098 0.538029 0.0103953 0.677245
3049 -0.484485 -0.0772711 1.61809 0.493546 0.176275 0.700959
3050 -0.558989 -0.28901 1.66586 0.689942 0.419294 0.770278
3051 0.106699 0.366314 0.840065 0.807988 -0.371248 0.780946
3052 0.151999 0.408026 0.744082 1.00495 -0.430057 0.824295
3053 -0.27947 0.006355 1.29651 0.795359 0.0514156 0.785172
3054 -0.540287 0.00696553 1.63044 0.65693 0.0757197 0.663683
3055 -0.505193 -0.327985 1.61426 0.540367 0.454794 0.708965
3056 -0.437855 -0.281205 1.50981 0.673925 0.375943 0.830506
3057 0.101096 0.102276 0.865725 0.825103 -0.109578 1.07323
3058 0.0696805 0.0674291 0.86971 0.979464 -0.0650063 1.04554
3059 -0.0643312 0.0251714 1.0759 0.698773 -0.00245548 0.969874
3060 -0.249824 -0.0938813 1.35178 0.348419 0.171504 0.7609
3061 -0.250775 -0.073693 1.35418 0.341648 0.143525 0.788984
3062 -0.200179 -0.146236 1.30119 0.329699 0.21865 0.807434
3063 -0.222076 -0.0956978 1.30866 0.413755 0.159813 0.830332
3064 -0.0912653 0.032391 1.15196 0.497272 0.016684 0.858738
3065 -0.0645196 0.0880849 1.13644 0.431474 -0.0323846 0.805883
3066 -0.00153703 0.0876391 1.06484 0.458083 -0.0615556 0.961217
3067 0.0655645 0.206856 1.00999 0.375993 -0.176192 0.907237
3068 0.0363824 0.173336 1.04584 0.347379 -0.14197 0.911638
3069 0.124891 0.224536 0.941427 0.420282 -0.202786 0.955666
3070 0.211856 0.261549 0.835626 0.514686 -0.249616 1.00634
3071 0.303409 0.313481 0.723613 0.621503 -0.316188 1.08333
3072 0.0455704 -0.00510318 0.794059 0.52269 -0.243199 1.09988
3073 0.0378397 -0.011344 0.721521 0.565366 -0.313766 1.13412
3074 0.0271405 -0.0318709 0.749667 0.620553 -0.166003 1.23408
3075 0.0287628 -0.0285427 0.645474 0.623082 -0.276896 1.22819
3076 0.00381434 -0.0346312 0.691341 0.748513 -0.281904 1.2599
3077 0.00784275 -0.0593547 0.679605 0.728663 -0.102379 1.35759
3078 0.021982 -0.0386598 0.707099 0.647371 -0.0716786 1.2402
3079 0.0123541 -0.0278214 0.914725 0.643356 0.0959725 1.13813
3080 -0.0110012 -0.00733864 0.837178 0.793749 -0.0461352 1.07375
3081 -0.0152468 0.00594124 0.855169 0.811507 -0.197813 1.05737
3082 0.00350212 -0.0118743 0.740393 0.757043 -0.237523 1.16775
3083 0.0515409 0.0102823 0.724562 0.509553 -0.199036 1.03352
3084 0.0673652 -0.037744 0.781692 0.397705 -0.0488719 1.21712
3085 0.0452796 -0.0655785 0.808981 0.501066 -0.0809537 1.38305
3086 0.0690205 0.000405483 0.785615 0.386065 -0.099248 1.03909
3087 -0.00232319 -0.0291167 0.842489 0.73454 0.0420473 1.11336
3088 -0.0513077 0.0202999 0.546662 1.18967 -0.280446 1.05922
3089 -0.052992 -0.0130991 0.674823 1.10872 -0.242458 1.2078
3090 -0.0172606 0.0427146 0.518483 1.03683 -0.342587 0.987343
3091 -0.0385057 0.0597358 0.700501 1.0086 -0.35433 0.905275
3092 -0.0627516 0.0207312 1.09493 0.813728 -0.143481 0.938617
3093 -0.0183104 -0.00491781 1.16683 0.515189 0.0397078 0.9203
3094 -0.00192979 -0.0639088 1.13194 0.456476 0.289487 1.00659
3095 0.0226879 0.0067946 1.00958 0.44143 -0.0291977 0.932071
3096 -0.0628641 0.0820269 1.27407 0.640212 -0.197651 0.697625
3097 -0.0649435 0.0814914 1.15767 0.766016 -0.220001 0.720379
3098 -0.040386 0.119266 1.15071 0.64542 -0.372572 0.683505
3099 0.0118956 0.0839858 0.949824 0.583997 -0.316992 0.804748
3100 -0.0386503 0.0123929 1.11882 0.661716 -0.0106957 0.836656
3101 -0.00831688 0.15313 0.808055 0.870971 -0.575844 0.758015
3102 -0.0117196 0.131635 0.858029 0.822673 -0.493183 0.767526
3103 -0.0729886 0.0750709 1.06318 0.889426 -0.253189 0.763936
3104 -0.100758 0.00935182 1.14273 0.932994 -0.0446959 0.842852
3105 -0.0481846 -0.0219669 1.01726 0.819264 -0.00514184 0.952903
3106 0.00401473 -0.039832 0.947911 0.635491 -0.0147315 1.05939
3107 -0.0327648 -0.0583923 1.09706 0.62026 0.109977 0.984772
3108 -0.0494019 0.0149027 1.13546 0.651749 -0.058659 0.841155
3109 -0.0216468 -0.0548744 1.05658 0.622914 0.0788504 1.00489
3110 -0.0957216 0.0139108 1.20984 0.778149 -0.0198063 0.79105
3111 -0.103803 -0.154942 1.15853 0.902511 0.339202 1.11595
3112 0.00283891 0.0656284 0.801484 0.921446 -0.270426 0.943459
3113 0.0976109 0.171849 0.452102 1.00591 -0.585993 0.908799
3114 0.0866506 0.124337 0.388216 1.17179 -0.506104 1.02154
3115 -0.0378626 0.0948221 0.79695 1.11454 -0.318663 0.850902
3116 -0.0830818 0.00537021 1.00665 0.976206 -0.0897832 0.909542
3117 -0.100474 -0.148507 1.08942 0.915173 0.241219 1.11633
3118 -0.158799 -0.226982 1.23643 0.949504 0.432248 1.17435
3119 -0.129443 -0.0555715 1.19588 0.871842 0.0888904 0.922326
3120 -0.156854 -0.16138 1.25856 0.894739 0.326654 1.01489
3121 -0.139578 -0.152564 1.22548 0.868464 0.305731 1.00912
3122 -0.15485 -0.193868 1.24763 0.903898 0.383485 1.07119
3123 -0.0861934 -0.178172 1.1175 0.810625 0.310297 1.13693
3124 -0.14569 -0.390672 1.25575 0.832839 0.769289 1.28983
3125 -0.128168 -0.0729563 1.27056 0.706639 0.185594 0.869258
3126 -0.133778 -0.101986 1.24594 0.790685 0.207393 0.974679
3127 -0.0227454 -0.000830952 0.997989 0.764458 -0.0387053 0.994375
3128 -0.0244447 -0.0889659 1.01589 0.733654 0.11555 1.10918
3129 -0.0696325 -0.222364 1.09774 0.778766 0.400453 1.1478
3130 -0.0329639 -0.268935 1.05141 0.696308 0.476034 1.22093
3131 -0.118319 -0.228571 1.19437 0.805411 0.441618 1.09462
3132 -0.075882 -0.250931 1.152 0.686745 0.497916 1.0794
3133 -0.0446256 -0.392969 1.0779 0.712353 0.711656 1.30949
3134 -0.137317 -0.446038 1.26089 0.738638 0.820858 1.31092
3135 -0.191463 -0.675946 1.31655 0.884406 1.2273 1.4892
3136 0.206689 -0.0392623 0.216841 1.66966 -0.358192 2.28317
3137 0.231371 0.0363402 0.310698 1.2818 -0.291247 1.69808
3138 0.272248 0.119024 0.319833 1.04026 -0.504099 1.84118
3139 0.16002 -0.29516 0.464716 1.2394 0.106614 2.36584
3140 0.164476 -0.0824964 0.511652 1.08503 -0.101466 1.81919
3141 0.152185 -0.199659 0.574039 0.972219 0.130051 1.78304
3142 0.131081 -0.214 0.626074 0.933848 0.120125 1.88816
3143 0.174359 -0.102234 0.575545 0.850809 -0.00893519 1.66948
3144 0.146897 -0.139449 0.621186 0.860978 0.0442566 1.70891
3145 0.163649 -0.0101129 0.606361 0.816396 -0.109565 1.48354
3146 0.154697 -0.00937202 0.628639 0.795424 -0.116197 1.49976
3147 0.152333 -0.0248716 0.642418 0.765627 -0.0772446 1.46208
3148 0.167454 0.0438629 0.623369 0.744722 -0.16226 1.36327
3149 0.145336 0.0341416 0.659823 0.746511 -0.149424 1.37438
3150 0.167179 0.0200094 0.638971 0.697659 -0.131273 1.39114
3151 0.164954 0.0421034 0.649436 0.675285 -0.163483 1.37888
3152 0.152408 0.0800495 0.674587 0.659365 -0.197014 1.2876
3153 0.170566 0.060551 0.668635 0.582508 -0.168516 1.29607
3154 0.15512 0.0776936 0.69694 0.568882 -0.191566 1.28408
3155 0.159321 0.0982076 0.697468 0.544733 -0.219402 1.26972
3156 0.142772 0.0445678 0.730995 0.516814 -0.123732 1.22435
3157 0.147341 0.135885 0.730772 0.493441 -0.25699 1.20667
3158 0.0853538 -0.00175327 0.826823 0.481974 -0.0420211 1.17476
3159 0.0697413 0.0781412 0.874283 0.39393 -0.143862 1.11657
3160 -0.0137233 -0.0803664 1.00574 0.358654 0.114827 1.01616
3161 -0.0833973 -0.028865 1.10672 0.357553 0.0603664 0.944089
3162 -0.233583 -0.297261 1.31429 0.383104 0.462812 0.871476
3163 -0.374914 -0.244051 1.5076 0.407408 0.409335 0.790182
3164 -0.617467 -0.549991 1.85871 0.360795 0.864544 0.687934
3165 -0.917288 -0.678379 2.29408 0.275378 1.06935 0.578563
3166 -0.883302 -0.88153 2.28354 0.137694 1.36709 0.49772
3167 -0.2828 0.315426 1.40465 0.411164 -0.263525 0.54346
3168 -0.0193861 0.530272 0.997415 0.622227 -0.584441 0.670757
3169 0.00869162 0.566355 0.967497 0.593876 -0.62892 0.656987
3170 -0.12232 0.522053 1.14081 0.590716 -0.558441 0.610784
