Run,Flynn,Area,Circumference,angles at triple points
0,8,0.000000,0.000000,,
100,8,0.000000,0.000000,,
200,8,0.000000,0.000000,,
300,8,0.000000,0.000000,,
400,8,0.000000,0.000000,,
500,8,0.000000,0.000000,,
